MYFSCHOOLS USER ACCOUNTS
Generated: 2026-03-04
Default password for all seeded accounts: 123456

[Exam Officer]
0990000000 | Cô Khảo thí | EXAM_OFFICER

[Subject Teachers]
0970000001 | Thầy Toán | SUBJECT_TEACHER | Toán
0720000007 | Học sinh 7B-07 | STUDENT | 7B
0720000008 | Học sinh 7B-08 | STUDENT | 7B
0720000009 | Học sinh 7B-09 | STUDENT | 7B
0720000010 | Học sinh 7B-10 | STUDENT | 7B
0720000011 | Học sinh 7B-11 | STUDENT | 7B
0720000012 | Học sinh 7B-12 | STUDENT | 7B
0720000013 | Học sinh 7B-13 | STUDENT | 7B
0720000014 | Học sinh 7B-14 | STUDENT | 7B
0720000015 | Học sinh 7B-15 | STUDENT | 7B
0810000001 | Học sinh 8A-01 | STUDENT | 8A
0810000002 | Học sinh 8A-02 | STUDENT | 8A
0810000003 | Học sinh 8A-03 | STUDENT | 8A
0810000004 | Học sinh 8A-04 | STUDENT | 8A
0810000005 | Học sinh 8A-05 | STUDENT | 8A
0810000006 | Học sinh 8A-06 | STUDENT | 8A
0810000007 | Học sinh 8A-07 | STUDENT | 8A
0810000008 | Học sinh 8A-08 | STUDENT | 8A
0810000009 | Học sinh 8A-09 | STUDENT | 8A
0810000010 | Học sinh 8A-10 | STUDENT | 8A
0810000011 | Học sinh 8A-11 | STUDENT | 8A
0810000012 | Học sinh 8A-12 | STUDENT | 8A
0810000013 | Học sinh 8A-13 | STUDENT | 8A
0810000014 | Học sinh 8A-14 | STUDENT | 8A
0810000015 | Học sinh 8A-15 | STUDENT | 8A
0820000001 | Học sinh 8B-01 | STUDENT | 8B
0820000002 | Học sinh 8B-02 | STUDENT | 8B
0820000003 | Học sinh 8B-03 | STUDENT | 8B
0820000004 | Học sinh 8B-04 | STUDENT | 8B
0820000005 | Học sinh 8B-05 | STUDENT | 8B
0820000006 | Học sinh 8B-06 | STUDENT | 8B
0820000007 | Học sinh 8B-07 | STUDENT | 8B
0820000008 | Học sinh 8B-08 | STUDENT | 8B
0820000009 | Học sinh 8B-09 | STUDENT | 8B
0820000010 | Học sinh 8B-10 | STUDENT | 8B
0820000011 | Học sinh 8B-11 | STUDENT | 8B
0820000012 | Học sinh 8B-12 | STUDENT | 8B
0820000013 | Học sinh 8B-13 | STUDENT | 8B
0820000014 | Học sinh 8B-14 | STUDENT | 8B
0820000015 | Học sinh 8B-15 | STUDENT | 8B
0910000001 | Học sinh 9A-01 | STUDENT | 9A
0910000002 | Học sinh 9A-02 | STUDENT | 9A
0910000003 | Học sinh 9A-03 | STUDENT | 9A
0910000004 | Học sinh 9A-04 | STUDENT | 9A
0910000005 | Học sinh 9A-05 | STUDENT | 9A
0910000006 | Học sinh 9A-06 | STUDENT | 9A
0910000007 | Học sinh 9A-07 | STUDENT | 9A
0910000008 | Học sinh 9A-08 | STUDENT | 9A
0910000009 | Học sinh 9A-09 | STUDENT | 9A
0910000010 | Học sinh 9A-10 | STUDENT | 9A
0910000011 | Học sinh 9A-11 | STUDENT | 9A
0910000012 | Học sinh 9A-12 | STUDENT | 9A
0910000013 | Học sinh 9A-13 | STUDENT | 9A
0910000014 | Học sinh 9A-14 | STUDENT | 9A
0910000015 | Học sinh 9A-15 | STUDENT | 9A
0920000001 | Học sinh 9B-01 | STUDENT | 9B
0920000002 | Học sinh 9B-02 | STUDENT | 9B
0920000003 | Học sinh 9B-03 | STUDENT | 9B
0920000004 | Học sinh 9B-04 | STUDENT | 9B
0920000005 | Học sinh 9B-05 | STUDENT | 9B
0920000006 | Học sinh 9B-06 | STUDENT | 9B
0920000007 | Học sinh 9B-07 | STUDENT | 9B
0920000008 | Học sinh 9B-08 | STUDENT | 9B
0920000009 | Học sinh 9B-09 | STUDENT | 9B
0920000010 | Học sinh 9B-10 | STUDENT | 9B
0920000011 | Học sinh 9B-11 | STUDENT | 9B
0920000012 | Học sinh 9B-12 | STUDENT | 9B
0920000013 | Học sinh 9B-13 | STUDENT | 9B
0920000014 | Học sinh 9B-14 | STUDENT | 9B
0920000015 | Học sinh 9B-15 | STUDENT | 9B
